time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Fortaleza,Vitória,sáb.,16:00,1.37,2.88,282
Grêmio,Mirassol,sáb.,16:00,1.58,2.23,272
Palmeiras,Internacional,sáb.,18:30,1.22,3.9,257
Fluminense,Corinthians,sáb.,21:00,1.4,2.75,315
Bragantino,Sport,14 de set.,11:00,1.38,2.85,253
Atlético-MG,Santos,14 de set.,16:00,1.37,2.9,305
Juventude,Flamengo,14 de set.,16:00,5.2,1.13,280
São Paulo,Botafogo,14 de set.,17:30,1.5,2.43,245
Vasco,Ceará,14 de set.,20:30,1.33,3.05,290
Bahia,Cruzeiro,15 de set.,20:00,1.6,2.23,314
Botafogo,Mirassol,17 de set.,19:30,1.23,3.75,283
Vitória,Fluminense,20 de set.,16:00,1.74,1.98,40
Botafogo,Atlético-MG,20 de set.,18:30,1.17,4.4,40
Ceará,Bahia,20 de set.,18:30,1.86,1.84,40
Palmeiras,Fortaleza,20 de set.,21:00,1.05,8.0,39
Mirassol,Juventude,21 de set.,16:00,1.18,4.3,40
Flamengo,Vasco,21 de set.,17:30,1.16,4.6,40
Internacional,Grêmio,21 de set.,17:30,1.35,2.95,40
Sport,Corinthians,21 de set.,17:30,1.9,1.8,40
Cruzeiro,Bragantino,21 de set.,20:30,1.15,4.7,40
Santos,São Paulo,21 de set.,20:30,1.7,2.04,40
